id, name1, name2, name3, name4, name5, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
428,5,7,11,15,17,35/32,75/64,77/64,165/128,85/64,187/128,105/64,55/32,119/64,255/128,false,false,false,false,10,0,0,1,1,0,1,0,1,1,0,0,0,0,0
433,1,9,11,15,17,135/128,17/16,9/8,153/128,165/128,11/8,187/128,99/64,15/8,255/128,false,false,false,false,10,1,0,0,0,1,1,0,1,1,0,0,0,0,0
434,3,9,11,15,17,33/32,135/128,153/128,165/128,45/32,187/128,99/64,51/32,27/16,255/128,false,false,false,false,10,0,1,0,0,1,1,0,1,1,0,0,0,0,0
436,5,9,11,15,17,135/128,75/64,153/128,165/128,85/64,45/32,187/128,99/64,55/32,255/128,false,false,false,false,10,0,0,1,0,1,1,0,1,1,0,0,0,0,0
440,7,9,11,15,17,135/128,153/128,77/64,165/128,187/128,99/64,105/64,119/64,63/32,255/128,false,false,false,false,10,0,0,0,1,1,1,0,1,1,0,0,0,0,0
451,1,3,13,15,17,17/16,39/32,45/32,3/2,195/128,51/32,13/8,221/128,15/8,255/128,false,false,false,false,10,1,1,0,0,0,0,1,1,1,0,0,0,0,0
453,1,5,13,15,17,65/64,17/16,75/64,5/4,85/64,195/128,13/8,221/128,15/8,255/128,false,false,false,false,10,1,0,1,0,0,0,1,1,1,0,0,0,0,0
454,3,5,13,15,17,65/64,75/64,39/32,85/64,45/32,195/128,51/32,221/128,15/8,255/128,false,false,false,false,10,0,1,1,0,0,0,1,1,1,0,0,0,0,0
457,1,7,13,15,17,17/16,91/64,195/128,13/8,105/64,221/128,7/4,119/64,15/8,255/128,false,false,false,false,10,1,0,0,1,0,0,1,1,1,0,0,0,0,0
458,3,7,13,15,17,39/32,21/16,45/32,91/64,195/128,51/32,105/64,221/128,119/64,255/128,false,false,false,false,10,0,1,0,1,0,0,1,1,1,0,0,0,0,0
460,5,7,13,15,17,65/64,35/32,75/64,85/64,91/64,195/128,105/64,221/128,119/64,255/128,false,false,false,false,10,0,0,1,1,0,0,1,1,1,0,0,0,0,0
465,1,9,13,15,17,135/128,17/16,9/8,153/128,195/128,13/8,221/128,117/64,15/8,255/128,false,false,false,false,10,1,0,0,0,1,0,1,1,1,0,0,0,0,0
466,3,9,13,15,17,135/128,153/128,39/32,45/32,195/128,51/32,27/16,221/128,117/64,255/128,false,false,false,false,10,0,1,0,0,1,0,1,1,1,0,0,0,0,0
468,5,9,13,15,17,65/64,135/128,75/64,153/128,85/64,45/32,195/128,221/128,117/64,255/128,false,false,false,false,10,0,0,1,0,1,0,1,1,1,0,0,0,0,0
472,7,9,13,15,17,135/128,153/128,91/64,195/128,105/64,221/128,117/64,119/64,63/32,255/128,false,false,false,false,10,0,0,0,1,1,0,1,1,1,0,0,0,0,0
481,1,11,13,15,17,17/16,143/128,165/128,11/8,187/128,195/128,13/8,221/128,15/8,255/128,false,false,false,false,10,1,0,0,0,0,1,1,1,1,0,0,0,0,0
482,3,11,13,15,17,33/32,143/128,39/32,165/128,45/32,187/128,195/128,51/32,221/128,255/128,false,false,false,false,10,0,1,0,0,0,1,1,1,1,0,0,0,0,0
484,5,11,13,15,17,65/64,143/128,75/64,165/128,85/64,187/128,195/128,55/32,221/128,255/128,false,false,false,false,10,0,0,1,0,0,1,1,1,1,0,0,0,0,0
488,7,11,13,15,17,143/128,77/64,165/128,91/64,187/128,195/128,105/64,221/128,119/64,255/128,false,false,false,false,10,0,0,0,1,0,1,1,1,1,0,0,0,0,0
496,9,11,13,15,17,135/128,143/128,153/128,165/128,187/128,195/128,99/64,221/128,117/64,255/128,false,false,false,false,10,0,0,0,0,1,1,1,1,1,0,0,0,0,0
527,1,3,5,7,19,133/128,35/32,19/16,5/4,21/16,95/64,3/2,7/4,57/32,15/8,false,false,false,false,10,1,1,1,1,0,0,0,0,0,1,0,0,0,0
535,1,3,5,9,19,9/8,19/16,5/4,171/128,45/32,95/64,3/2,27/16,57/32,15/8,false,false,false,false,10,1,1,1,0,1,0,0,0,0,1,0,0,0,0
539,1,3,7,9,19,133/128,9/8,19/16,21/16,171/128,3/2,27/16,7/4,57/32,63/32,false,false,false,false,10,1,1,0,1,1,0,0,0,0,1,0,0,0,0
541,1,5,7,9,19,133/128,35/32,9/8,19/16,5/4,171/128,45/32,95/64,7/4,63/32,false,false,false,false,10,1,0,1,1,1,0,0,0,0,1,0,0,0,0
542,3,5,7,9,19,133/128,35/32,21/16,171/128,45/32,95/64,27/16,57/32,15/8,63/32,false,false,false,false,10,0,1,1,1,1,0,0,0,0,1,0,0,0,0
