id, name1, name2, name3, name4, name5, name6, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, note11, note12, note13, note14, note15, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
429,1,5,7,11,15,17,17/16,35/32,75/64,77/64,5/4,165/128,85/64,11/8,187/128,105/64,55/32,7/4,119/64,15/8,255/128,false,false,false,false,15,1,0,1,1,0,1,0,1,1,0,0,0,0,0
430,3,5,7,11,15,17,33/32,35/32,75/64,77/64,165/128,21/16,85/64,45/32,187/128,51/32,105/64,55/32,119/64,15/8,255/128,false,false,false,false,15,0,1,1,1,0,1,0,1,1,0,0,0,0,0
435,1,3,9,11,15,17,33/32,135/128,17/16,9/8,153/128,165/128,11/8,45/32,187/128,3/2,99/64,51/32,27/16,15/8,255/128,false,false,false,false,15,1,1,0,0,1,1,0,1,1,0,0,0,0,0
437,1,5,9,11,15,17,135/128,17/16,9/8,75/64,153/128,5/4,165/128,85/64,11/8,45/32,187/128,99/64,55/32,15/8,255/128,false,false,false,false,15,1,0,1,0,1,1,0,1,1,0,0,0,0,0
438,3,5,9,11,15,17,33/32,135/128,75/64,153/128,165/128,85/64,45/32,187/128,99/64,51/32,27/16,55/32,15/8,255/128,null/null,false,false,false,false,14,0,1,1,0,1,1,0,1,1,0,0,0,0,0
441,1,7,9,11,15,17,135/128,17/16,9/8,153/128,77/64,165/128,11/8,187/128,99/64,105/64,7/4,119/64,15/8,63/32,255/128,false,false,false,false,15,1,0,0,1,1,1,0,1,1,0,0,0,0,0
442,3,7,9,11,15,17,33/32,135/128,153/128,77/64,165/128,21/16,45/32,187/128,99/64,51/32,105/64,27/16,119/64,63/32,255/128,false,false,false,false,15,0,1,0,1,1,1,0,1,1,0,0,0,0,0
444,5,7,9,11,15,17,135/128,35/32,75/64,153/128,77/64,165/128,85/64,45/32,187/128,99/64,105/64,55/32,119/64,63/32,255/128,false,false,false,false,15,0,0,1,1,1,1,0,1,1,0,0,0,0,0
455,1,3,5,13,15,17,65/64,17/16,75/64,39/32,5/4,85/64,45/32,3/2,195/128,51/32,13/8,221/128,15/8,255/128,null/null,false,false,false,false,14,1,1,1,0,0,0,1,1,1,0,0,0,0,0
459,1,3,7,13,15,17,17/16,39/32,21/16,45/32,91/64,3/2,195/128,51/32,13/8,105/64,221/128,7/4,119/64,15/8,255/128,false,false,false,false,15,1,1,0,1,0,0,1,1,1,0,0,0,0,0
461,1,5,7,13,15,17,65/64,17/16,35/32,75/64,5/4,85/64,91/64,195/128,13/8,105/64,221/128,7/4,119/64,15/8,255/128,false,false,false,false,15,1,0,1,1,0,0,1,1,1,0,0,0,0,0
462,3,5,7,13,15,17,65/64,35/32,75/64,39/32,21/16,85/64,45/32,91/64,195/128,51/32,105/64,221/128,119/64,15/8,255/128,false,false,false,false,15,0,1,1,1,0,0,1,1,1,0,0,0,0,0
467,1,3,9,13,15,17,135/128,17/16,9/8,153/128,39/32,45/32,3/2,195/128,51/32,13/8,27/16,221/128,117/64,15/8,255/128,false,false,false,false,15,1,1,0,0,1,0,1,1,1,0,0,0,0,0
469,1,5,9,13,15,17,65/64,135/128,17/16,9/8,75/64,153/128,5/4,85/64,45/32,195/128,13/8,221/128,117/64,15/8,255/128,false,false,false,false,15,1,0,1,0,1,0,1,1,1,0,0,0,0,0
470,3,5,9,13,15,17,65/64,135/128,75/64,153/128,39/32,85/64,45/32,195/128,51/32,27/16,221/128,117/64,15/8,255/128,null/null,false,false,false,false,14,0,1,1,0,1,0,1,1,1,0,0,0,0,0
473,1,7,9,13,15,17,135/128,17/16,9/8,153/128,91/64,195/128,13/8,105/64,221/128,7/4,117/64,119/64,15/8,63/32,255/128,false,false,false,false,15,1,0,0,1,1,0,1,1,1,0,0,0,0,0
474,3,7,9,13,15,17,135/128,153/128,39/32,21/16,45/32,91/64,195/128,51/32,105/64,27/16,221/128,117/64,119/64,63/32,255/128,false,false,false,false,15,0,1,0,1,1,0,1,1,1,0,0,0,0,0
476,5,7,9,13,15,17,65/64,135/128,35/32,75/64,153/128,85/64,45/32,91/64,195/128,105/64,221/128,117/64,119/64,63/32,255/128,false,false,false,false,15,0,0,1,1,1,0,1,1,1,0,0,0,0,0
483,1,3,11,13,15,17,33/32,17/16,143/128,39/32,165/128,11/8,45/32,187/128,3/2,195/128,51/32,13/8,221/128,15/8,255/128,false,false,false,false,15,1,1,0,0,0,1,1,1,1,0,0,0,0,0
485,1,5,11,13,15,17,65/64,17/16,143/128,75/64,5/4,165/128,85/64,11/8,187/128,195/128,13/8,55/32,221/128,15/8,255/128,false,false,false,false,15,1,0,1,0,0,1,1,1,1,0,0,0,0,0
486,3,5,11,13,15,17,65/64,33/32,143/128,75/64,39/32,165/128,85/64,45/32,187/128,195/128,51/32,55/32,221/128,15/8,255/128,false,false,false,false,15,0,1,1,0,0,1,1,1,1,0,0,0,0,0
489,1,7,11,13,15,17,17/16,143/128,77/64,165/128,11/8,91/64,187/128,195/128,13/8,105/64,221/128,7/4,119/64,15/8,255/128,false,false,false,false,15,1,0,0,1,0,1,1,1,1,0,0,0,0,0
490,3,7,11,13,15,17,33/32,143/128,77/64,39/32,165/128,21/16,45/32,91/64,187/128,195/128,51/32,105/64,221/128,119/64,255/128,false,false,false,false,15,0,1,0,1,0,1,1,1,1,0,0,0,0,0
492,5,7,11,13,15,17,65/64,35/32,143/128,75/64,77/64,165/128,85/64,91/64,187/128,195/128,105/64,55/32,221/128,119/64,255/128,false,false,false,false,15,0,0,1,1,0,1,1,1,1,0,0,0,0,0
497,1,9,11,13,15,17,135/128,17/16,143/128,9/8,153/128,165/128,11/8,187/128,195/128,99/64,13/8,221/128,117/64,15/8,255/128,false,false,false,false,15,1,0,0,0,1,1,1,1,1,0,0,0,0,0
498,3,9,11,13,15,17,33/32,135/128,143/128,153/128,39/32,165/128,45/32,187/128,195/128,99/64,51/32,27/16,221/128,117/64,255/128,false,false,false,false,15,0,1,0,0,1,1,1,1,1,0,0,0,0,0
500,5,9,11,13,15,17,65/64,135/128,143/128,75/64,153/128,165/128,85/64,45/32,187/128,195/128,99/64,55/32,221/128,117/64,255/128,false,false,false,false,15,0,0,1,0,1,1,1,1,1,0,0,0,0,0
504,7,9,11,13,15,17,135/128,143/128,153/128,77/64,165/128,91/64,187/128,195/128,99/64,105/64,221/128,117/64,119/64,63/32,255/128,false,false,false,false,15,0,0,0,1,1,1,1,1,1,0,0,0,0,0
543,1,3,5,7,9,19,133/128,35/32,9/8,19/16,5/4,21/16,171/128,45/32,95/64,3/2,27/16,7/4,57/32,15/8,63/32,false,false,false,false,15,1,1,1,1,1,0,0,0,0,1,0,0,0,0
559,1,3,5,7,11,19,33/32,133/128,35/32,19/16,77/64,5/4,21/16,11/8,95/64,3/2,209/128,55/32,7/4,57/32,15/8,false,false,false,false,15,1,1,1,1,0,1,0,0,0,1,0,0,0,0
567,1,3,5,9,11,19,33/32,9/8,19/16,5/4,171/128,11/8,45/32,95/64,3/2,99/64,209/128,27/16,55/32,57/32,15/8,false,false,false,false,15,1,1,1,0,1,1,0,0,0,1,0,0,0,0
